category,amount,total,note
SQL,22,72,
PHP,14,72,
XML / XSLT / Xquery,27,72,
Javascript,21,72,
Drupal,11,72,
Wordpress,13,72,
Fedora,3,72,
Other,29,72,"Unique Reponses to ""Other"":;  Flash; Nunaliit; PERL; Audo; HTML; 3D imaging; Ruby; OJS; Nvivo & Atlas.ti software; Layar Augmented Reality Platform; Unity; Django Omeka; Plone and Python; MS pages for frames; ArcGIS and Tableau and OpenRefine; SketchUp and Unity; TEI; Semantic Web; XML database and Apaches Cocoon; eXist and TortoiseSVN; Neo4j database; scalar; started with a custom c+ database and Perl, MediaWiki; Rails and bespoke R code"
